,,,,,,,ค่าบริการ,,,
วันที่,เวลา,เพศ,ช่วงอายุ,จำนวนชิ้นงาน,จำนวนหน้าต่อชิ้นงาน,จำนวนหน้ารวม,ต่อชิ้นงาน,ต่อบุคคล,ต่อจำนวนหน้า,ระยะเวลาจัดเตรียม(นาที:วินาที)
22/04/2019,8:18,ญ,แม่บ้าน,1,25,25,10,10,0.4,7:0
22/04/2019,8:27,ญ,นักศึกษา,1,208,208,114,114,0.5480769231,30:2
22/04/2019,8:37,ช,นักศึกษา,1,300,300,150,150,0.5,0:30
22/04/2019,12:10,ญ,นักศึกษา,2,300,600,150,300,0.5,0:30
22/04/2019,12:19,ญ,นักศึกษา,1,4,4,6,6,1.5,1:06
22/04/2019,12:29,ช,นักศึกษา,4,300,1200,150,600,0.5,1:00
22/04/2019,16:20,ช,นักศึกษา,4,10,40,8,32,0.8,3:26
22/04/2019,16:21,ช,นักศึกษา,2,25,50,10,20,0.4,2:50
22/04/2019,16:24,ช,นักศึกษา,1,25,25,10,10,0.4,4:57
22/04/2019,16:25,ช,นักศึกษา,1,25,25,10,10,0.4,0:26
22/04/2019,16:26,ช,นักศึกษา,2,25,50,10,20,0.4,2:8
22/04/2019,16:27,ช,นักศึกษา,1,25,25,10,10,0.4,2:28
22/04/2019,16:28,ญ,นักศึกษา,1,25,25,10,10,0.4,4:0
24/04/2019,8:28,ช,นักศึกษา,1,8,8,4,4,0.5,0:20
24/04/2019,8:32,ญ,นักศึกษา,4,7,28,3,12,0.4285714286,1:35
24/04/2019,12:12,ญ,นักศึกษา,3,5,15,2,6,0.4,0:38
24/04/2019,12:18,ช,นักศึกษา,1,1,1,1,1,1,0:40
24/04/2019,12:18,ช,นักศึกษา,1,3,3,3,3,1,1:40
24/04/2019,12:18,ญ,นักศึกษา,1,2,2,2,2,1,2:40
24/04/2019,12:21,ช,นักศึกษา,5,4,20,1.8,9,0.45,1:12
24/04/2019,12:24,ญ,นักศึกษา,5,5,25,2,10,0.4,0:37
26/04/2019,8:29,ญ,นักศึกษา,10,3,30,1,10,0.3333333333,0:30
26/04/2019,8:31,ช,นักศึกษา,1,10,10,8,8,0.8,0:23
26/04/2019,8:46,ญ,นักศึกษา,1,8,8,3,3,0.375,0:16
26/04/2019,8:49,ช,นักศึกษา,1,3,3,2,2,0.6666666667,0:10
26/04/2019,8:52,ช,นักศึกษา,2,3,6,2,4,0.6666666667,0:30
26/04/2019,9:03,ช,นักศึกษา,80,4,320,1.6,128,0.4,3:20
26/04/2019,9:06,ช,นักศึกษา,2,3,6,3,6,1,0:21
26/04/2019,9:08,ญ,นักศึกษา,6,3,18,2,12,0.6666666667,0:15
26/04/2019,9:08,ช,นักศึกษา,1,3,3,2,2,0.6666666667,0:15
26/04/2019,9:10,ช,นักศึกษา,2,7,14,3,6,0.4285714286,0:25
26/04/2019,9:11,ญ,นักศึกษา,1,3,3,3,3,1,0:10
26/04/2019,9:13,ช,นักศึกษา,1,49,49,20,20,0.4081632653,1:30
26/04/2019,12:16,ญ,นักศึกษา,1,3,3,2,2,0.6666666667,0:20
26/04/2019,12:26,ญ,นักศึกษา,2,5,10,2,4,0.4,0:38
26/04/2019,12:28,ญ,นักศึกษา,2,2,4,1,2,0.5,0:25
26/04/2019,12:33,ช,นักศึกษา,1,8,8,4,4,0.5,0:42
26/04/2019,16.26,ช,นักศึกษา,1,10,10,10,10,1,1:08
